City,ft,bt,Transmission,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl)
Bangalore,Petrol,Hatchback,Manual,3,Maruti Celerio,2015,400000.0,Third Party insurance,23.1
Bangalore,Petrol,SUV,Manual,2,Ford Ecosport,2018,811000.0,Comprehensive,17
Bangalore,Petrol,Hatchback,Manual,1,Tata Tiago,2018,585000.0,Comprehensive,23.84
Bangalore,Petrol,Sedan,Manual,1,Hyundai Xcent,2014,462000.0,Comprehensive,19.1
Bangalore,Diesel,SUV,Manual,1,Maruti SX4 S Cross,2015,790000.0,Third Party insurance,23.65
Bangalore,Diesel,SUV,Manual,1,Jeep Compass,2020,1900000.0,Third Party insurance,17.1
Bangalore,Petrol,Hatchback,Manual,1,Datsun GO,2017,345000.0,Comprehensive,20.63
Bangalore,Petrol,SUV,Automatic,1,Hyundai Venue,2021,1200000.0,Third Party insurance,18.15
Bangalore,Petrol,Sedan,Automatic,1,Maruti Ciaz,2018,960000.0,Comprehensive,20.28
Bangalore,Petrol,Hatchback,Manual,1,Tata Tiago,2017,585000.0,Comprehensive,23.84
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2018,690000.0,Third Party insurance,21.4
Bangalore,Petrol,Hatchback,Automatic,1,Hyundai Grand i10,2019,682000.0,Third Party insurance,18.9
Bangalore,Petrol,Hatchback,Automatic,1,Honda Jazz,2018,825000.0,Comprehensive,18.2
Bangalore,Petrol,Hatchback,Automatic,1,Tata Tiago,2018,595000.0,Comprehensive,23.84
Bangalore,Diesel,SUV,Manual,3,Mahindra XUV500,2014,690000.0,Comprehensive,15.1
Bangalore,Diesel,SUV,Manual,1,Jeep Compass,2018,1350000.0,Third Party insurance,17.1
Bangalore,Diesel,SUV,Automatic,1,Mercedes-Benz GLA,2022,5595000.0,Comprehensive,
Bangalore,Diesel,Hatchback,Manual,2,Hyundai i20,2014,521000.0,Comprehensive,21.27
Bangalore,Petrol,SUV,Manual,1,Tata Nexon,2022,1005000.0000000001,Third Party insurance,17.33
Bangalore,Petrol,Sedan,Manual,2,Honda City,2016,775000.0,Comprehensive,17.8
Bangalore,Diesel,Sedan,Automatic,3,BMW 5 Series,2011,2200000.0,Third Party insurance,18.48
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2016,582000.0,Comprehensive,22.38
Bangalore,Petrol,SUV,Manual,1,Renault Duster,2020,1090000.0,Third Party insurance,16.42
Bangalore,Petrol,Hatchback,Manual,2,Tata Tiago,2016,457000.0,Comprehensive,23.84
Bangalore,Petrol,Sedan,Automatic,2,Mercedes-Benz S-Class,2016,4900000.0,Third Party insurance,7.81
Bangalore,Petrol,Sedan,Manual,1,Honda City,2015,550000.0,Third Party insurance,17.4
Bangalore,Petrol,Hatchback,Automatic,1,Hyundai Santro,2018,570000.0,Comprehensive,20.3
Bangalore,Lpg,Hatchback,Manual,2,Hyundai Santro Xing,2009,220000.00000000003,Third Party insurance,13.45
Bangalore,Petrol,Sedan,Automatic,1,Mercedes-Benz E-Class,2017,4145000.0000000005,Comprehensive,15
Bangalore,Diesel,SUV,Manual,2,Mahindra XUV500,2014,861000.0,Third Party,15.1
Bangalore,Diesel,Sedan,Automatic,2,Audi A4,2016,1785000.0000000002,Third Party insurance,17.11
Bangalore,Diesel,SUV,Manual,2,Mahindra XUV500,2014,802999.9999999999,Comprehensive,15.1
Bangalore,Diesel,SUV,Manual,1,Jeep Compass,2021,2565000.0,Comprehensive,17.1
Bangalore,Petrol,Sedan,Manual,1,Hyundai Xcent,2018,674000.0,Third Party insurance,20.14
Bangalore,Petrol,Hatchback,Manual,1,Maruti Wagon R,2015,349000.0,Comprehensive,20.51
Bangalore,Petrol,MUV,Manual,2,Maruti Ertiga,2019,1050000.0,Third Party insurance,19.34
