City,ft,bt,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl),Brand,Mileage_Category,Transmission_Manual
0,4,2,3,160,2015,400000.0,8,0.7080163838502048,19,0,1
0,4,7,2,50,2018,811000.0,2,0.3510825043885313,7,1,1
0,4,2,1,273,2018,585000.0,2,0.7513165593914569,28,0,1
0,4,8,1,87,2014,462000.0,2,0.47396138092451745,10,2,1
0,1,7,1,178,2015,790000.0,8,0.7401989467524869,19,0,1
0,4,2,1,37,2017,345000.0,2,0.5634874195435927,5,0,1
0,4,7,1,85,2021,1200000.0,8,0.41837331772966635,10,2,0
0,4,8,1,163,2018,960000.0,2,0.5430076067875952,19,2,0
0,4,2,1,273,2017,585000.0,2,0.7513165593914569,28,0,1
0,4,2,1,157,2018,690000.0,8,0.6085430076067876,19,0,1
0,4,2,1,77,2019,682000.0,8,0.4622586307782329,10,2,0
0,4,2,1,66,2018,825000.0,2,0.42129900526623765,9,2,0
0,4,2,1,273,2018,595000.0,2,0.7513165593914569,28,0,0
0,1,7,3,147,2014,690000.0,2,0.23990637799882975,18,1,1
0,1,7,1,101,2018,1350000.0,8,0.35693387946167354,13,1,1
0,1,2,2,90,2014,521000.0,2,0.6009362200117027,10,0,1
0,4,7,1,265,2022,1005000.0,8,0.3703920421299004,28,1,1
0,4,8,2,63,2016,775000.0,2,0.3978935049736688,9,1,1
0,4,2,1,179,2016,582000.0,2,0.665886483323581,19,0,1
0,4,7,1,236,2020,1090000.0,8,0.3171445289643068,26,1,1
0,4,2,2,273,2016,457000.0,2,0.7513165593914569,28,0,1
0,4,8,1,63,2015,550000.0,8,0.3744880046811,9,1,1
0,4,2,1,81,2018,570000.0,2,0.5441778818022235,10,2,0
0,3,2,2,82,2009,220000.00000000003,8,0.1433586892919836,10,1,1
0,1,7,2,147,2014,861000.0,7,0.23990637799882975,18,1,1
0,1,8,2,3,2016,1785000.0000000002,8,0.3575190169689878,1,1,0
0,1,7,2,147,2014,802999.9999999999,2,0.23990637799882975,18,1,1
0,4,8,1,87,2018,674000.0,8,0.534815681685196,10,2,1
0,4,2,1,184,2015,349000.0,2,0.5564657694558223,19,2,1
0,4,4,2,165,2019,1050000.0,8,0.48800468110005857,19,2,1
0,4,2,2,184,2015,406000.0,2,0.5564657694558223,19,2,1
0,1,7,3,285,2011,1100000.0,8,0.029256875365710977,29,1,1
0,1,7,2,236,2020,1100000.0,8,0.5190169689877121,26,2,0
0,4,2,1,90,2016,594000.0,2,0.4447045055588065,10,2,1
0,1,2,1,90,2017,710000.0,8,0.6752486834406085,10,0,1
0,4,2,1,157,2017,692000.0,9,0.6085430076067876,19,0,1
0,4,8,1,75,2013,650000.0,8,0.310122878876536,10,1,1
0,4,2,1,155,2021,411000.00000000006,9,0.6465769455822118,19,0,1
0,1,7,2,138,2010,650000.0,8,0.06143943826799303,18,1,1
